City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
vardo,70.3705,31.1107,11.99,87,88,3.6,NO,1657671243
vrangel,42.7297,133.0839,18.81,92,88,2.81,RU,1657671243
kaitangata,-46.2817,169.8464,6.25,95,100,6.4,NZ,1657671163
san borja,-14.8167,-66.85,16.11,89,93,3.14,BO,1657671243
tuktoyaktuk,69.4541,-133.0374,6.0,100,100,4.63,CA,1657671243
banda aceh,5.5577,95.3222,26.64,77,100,5.26,ID,1657671243
saint-philippe,-21.3585,55.7679,18.77,71,34,5.8,RE,1657671243
lebu,-37.6167,-73.65,8.98,75,99,2.59,CL,1657671243
east london,-33.0153,27.9116,14.2,62,0,2.86,ZA,1657670953
vitim,59.4511,112.5578,12.28,83,100,2.76,RU,1657671244
puruaran,19.1,-101.5333,24.32,85,87,1.33,MX,1657671244
sale,34.0389,-6.8166,23.38,94,78,3.09,MA,1657671244
porbandar,21.6422,69.6093,27.4,85,99,9.23,IN,1657671244
osterburg,52.7833,11.7667,18.45,75,87,2.08,DE,1657671244
srednekolymsk,67.45,153.6833,24.3,46,79,3.58,RU,1657671244
alyangula,-13.8483,136.4192,21.29,49,35,8.33,AU,1657671244
constitucion,-35.3333,-72.4167,9.77,81,80,2.86,CL,1657670951
rumonge,-3.9736,29.4386,23.58,57,63,1.68,BI,1657671244
renkum,51.9767,5.7333,21.54,81,100,2.06,NL,1657671244
smithers,54.7804,-127.1743,16.3,48,100,2.81,CA,1657671245
mae hong son,19.3003,97.9685,22.98,99,99,0.27,TH,1657671245
volot,57.9278,30.7025,11.54,98,1,2.4,RU,1657671245
avarua,-21.2078,-159.775,24.03,83,75,3.09,CK,1657671245
ponta do sol,32.6667,-17.1,21.35,73,38,1.02,PT,1657671245
hobart,-42.8794,147.3294,8.48,85,75,2.57,AU,1657671245
san cristobal,7.7669,-72.225,18.93,95,65,1.66,VE,1657670971
rawson,-43.3002,-65.1023,6.76,56,32,8.17,AR,1657671245
jamestown,42.097,-79.2353,23.9,65,0,3.6,US,1657671246
curup,-3.4667,102.5333,20.17,96,100,0.59,ID,1657670960
nanortalik,60.1432,-45.2371,5.73,89,22,4.37,GL,1657671246
atasu,48.6814,71.6433,17.03,49,0,4.59,KZ,1657671246
bima,-8.4667,118.7167,25.94,70,94,2.44,ID,1657671246
clyde river,70.4692,-68.5914,4.33,84,70,2.39,CA,1657671246
dikson,73.5069,80.5464,4.28,84,13,0.25,RU,1657671246
vestmannaeyjar,63.4427,-20.2734,9.12,77,100,10.33,IS,1657671246
ahipara,-35.1667,173.1667,15.8,79,98,5.74,NZ,1657671157
te anau,-45.4167,167.7167,4.01,98,100,1.08,NZ,1657671247
san nicolas,18.1725,120.5953,26.51,88,100,3.74,PH,1657671247
shaowu,27.3409,117.4831,30.06,63,43,0.31,CN,1657671247
marzuq,14.4,46.4667,25.75,34,99,1.41,YE,1657671247
cabedelo,-6.9811,-34.8339,24.37,84,9,4.31,BR,1657671247
pilar,-9.5972,-35.9567,22.96,94,21,1.2,BR,1657671247
hovd,48.0056,91.6419,19.83,43,100,1.38,MN,1657671247
anadyr,64.75,177.4833,20.28,59,20,6.0,RU,1657671045
praia,14.9215,-23.5087,24.24,82,19,2.89,CV,1657671001
makakilo city,21.3469,-158.0858,30.18,59,75,7.72,US,1657671247
acajutla,13.5928,-89.8275,27.55,77,72,1.01,SV,1657671248
duyun,26.2667,107.5167,23.8,88,45,3.13,CN,1657671248
pevek,69.7008,170.3133,2.26,96,100,9.4,RU,1657671120
crib point,-38.35,145.2,10.92,73,21,8.22,AU,1657671248
auki,-8.7676,160.7034,29.43,63,62,2.64,SB,1657671248
roald,62.5833,6.1333,14.63,72,100,8.75,NO,1657671248
camopi,3.1655,-52.3158,22.43,99,85,1.15,GF,1657671248
chokurdakh,70.6333,147.9167,10.43,78,100,3.49,RU,1657671248
komsomolskiy,40.4272,71.7189,23.97,38,97,2.14,UZ,1657671249
nikolskoye,59.7035,30.7861,17.67,98,37,2.11,RU,1657671249
huarmey,-10.0681,-78.1522,16.91,81,3,4.53,PE,1657671249
akyab,20.15,92.9,26.84,86,90,6.8,MM,1657671009
esperance,-33.8667,121.9,10.74,58,0,4.46,AU,1657671249
puerto suarez,-18.95,-57.8,18.41,70,82,1.45,BO,1657671249
cody,44.5263,-109.0565,31.69,26,0,5.66,US,1657671177
flin flon,54.7682,-101.865,26.98,33,33,1.82,CA,1657671249
cayenne,4.9333,-52.3333,28.38,5,0,1.79,GF,1657671016
torbay,47.6666,-52.7314,16.82,86,36,1.34,CA,1657671151
sao filipe,14.8961,-24.4956,23.85,82,1,3.44,CV,1657671250
ossora,59.2353,163.0719,19.53,75,17,1.75,RU,1657671250
hamilton,39.1834,-84.5333,29.35,53,40,4.12,US,1657671250
evensk,61.95,159.2333,13.73,82,44,2.92,RU,1657671250
bayburt,40.2589,40.2278,13.9,85,72,0.94,TR,1657671078
muroto,33.2833,134.15,26.39,78,100,1.78,JP,1657671250
severo-kurilsk,50.6789,156.125,13.32,89,48,0.11,RU,1657671250
koungou,-12.7336,45.2042,24.84,83,0,7.2,YT,1657671250
lasa,46.6166,10.7002,15.76,68,71,1.8,IT,1657671251
mago,53.2514,140.1822,22.39,79,100,0.77,RU,1657671251
mogadishu,2.0371,45.3438,24.28,80,65,9.16,SO,1657671251
fort nelson,58.8053,-122.7002,19.77,32,75,4.63,CA,1657671251
fortuna,40.5982,-124.1573,21.03,76,0,1.34,US,1657671251
rosetta,31.4044,30.4164,24.56,67,0,6.7,EG,1657671251
itaueira,-7.6033,-43.0256,26.92,40,38,3.38,BR,1657671251
atbasar,51.8,68.3333,18.67,66,16,1.7,KZ,1657671251
zyryanka,65.75,150.85,24.61,59,100,5.97,RU,1657671252
itacare,-14.2775,-38.9967,22.23,76,5,2.36,BR,1657671252
sitka,57.0531,-135.33,12.94,76,100,0.0,US,1657671252
bethel,41.3712,-73.414,28.47,65,40,2.57,US,1657671252
benguela,-12.5763,13.4055,20.12,88,55,2.32,AO,1657671252
pisco,-13.7,-76.2167,16.03,82,75,6.69,PE,1657671252
carnarvon,-24.8667,113.6333,19.22,69,1,3.47,AU,1657671252
yaransk,57.3033,47.8861,19.83,87,94,2.92,RU,1657671252
yeppoon,-23.1333,150.7333,14.88,51,0,4.93,AU,1657671153
puerto del rosario,28.5004,-13.8627,21.86,73,75,4.63,ES,1657671253
campbellsville,37.3434,-85.3419,29.06,41,56,1.79,US,1657671253
vanavara,60.34,102.2797,13.74,60,100,2.41,RU,1657671253
estelle,29.8458,-90.1067,28.33,78,75,2.57,US,1657671253
camacha,33.0833,-16.3333,17.68,77,0,3.09,PT,1657671254
cabo san lucas,22.8909,-109.9124,33.17,27,0,6.69,MX,1657671254
da lat,11.9465,108.4419,17.36,99,100,0.97,VN,1657671254
dingle,10.9995,122.6711,27.47,82,100,2.4,PH,1657671154
tecoanapa,16.5167,-98.75,29.42,74,50,4.64,MX,1657671254
grindavik,63.8424,-22.4338,8.26,81,40,3.09,IS,1657671254
kenai,60.5544,-151.2583,18.35,67,100,1.54,US,1657671254
ginda,30.6945,78.4932,18.31,83,21,1.7,IN,1657671255
barcelos,41.5388,-8.6151,31.03,39,61,3.3,PT,1657671255
bereda,43.2686,-7.5406,21.99,100,0,0.73,ES,1657671255
ketchikan,55.3422,-131.6461,13.26,88,100,3.6,US,1657671255
angoche,-16.2325,39.9086,21.62,74,2,2.69,MZ,1657671255
conde,-7.2597,-34.9075,23.7,88,0,2.57,BR,1657671255
touros,-5.1989,-35.4608,24.32,86,13,5.19,BR,1657671256
victoriaville,46.0501,-71.9658,21.93,95,23,4.94,CA,1657671256
zapolyarnyy,69.4154,30.8136,16.6,89,100,2.28,RU,1657671256
caravelas,-17.7125,-39.2481,21.09,80,36,2.04,BR,1657671256
saldanha,-33.0117,17.9442,12.22,78,0,1.33,ZA,1657671256
mareeba,-17.0,145.4333,20.82,68,46,1.21,AU,1657671256
mangai,-4.05,19.5333,22.33,39,43,0.51,CD,1657671256
serebryanyy bor,56.8,124.8,16.17,87,96,1.48,RU,1657671256
avera,33.194,-82.5271,27.73,76,100,1.5,US,1657671256
gdov,58.7406,27.8122,15.99,93,33,4.56,RU,1657671257
sterling,39.0062,-77.4286,22.44,90,100,4.12,US,1657671257
kaiserslautern,49.45,7.75,18.3,66,63,0.89,DE,1657671257
khasan,42.4308,130.6434,18.32,95,100,3.08,RU,1657671257
la palma,33.8464,-118.0467,33.7,61,0,4.12,US,1657671257
paita,-5.0892,-81.1144,18.09,82,54,7.29,PE,1657671257
bengkulu,-3.8004,102.2655,24.41,87,98,1.02,ID,1657671257
chumikan,54.7183,135.315,16.02,85,83,2.92,RU,1657671258
sibolga,1.7427,98.7792,24.6,90,99,1.35,ID,1657671258
aswan,24.0934,32.907,30.38,25,74,4.61,EG,1657671071
lagoa formosa,-18.7786,-46.4075,16.81,46,51,0.96,BR,1657671258
manta,-0.95,-80.7333,21.88,88,100,4.12,EC,1657671258
knysna,-34.0363,23.0471,12.05,59,0,2.34,ZA,1657670699
cozumel,20.5083,-86.9458,29.97,79,75,3.6,MX,1657671258
kununurra,-15.7667,128.7333,18.99,19,2,5.14,AU,1657671258
sangar,63.9242,127.4739,19.5,70,81,0.34,RU,1657671135
rafaela,-31.2503,-61.4867,8.32,46,0,1.34,AR,1657671258
ballina,-28.8667,153.5667,15.43,70,0,5.14,AU,1657671258
botwood,49.1499,-55.3482,16.04,60,6,4.79,CA,1657671259
kotka,60.4664,26.9458,17.59,93,67,3.66,FI,1657671259
half moon bay,37.4636,-122.4286,28.92,74,100,6.17,US,1657671259
kiruna,67.8557,20.2251,15.51,63,75,3.6,SE,1657671081
vostok,46.4856,135.8833,22.71,70,86,0.4,RU,1657671148
ixtapa,20.7,-105.2,29.57,74,75,3.6,MX,1657671259
aban,56.67,96.06,14.04,67,93,1.56,RU,1657671260
yumen,40.2833,97.2,24.41,15,37,5.33,CN,1657671260
saravan,39.7196,45.6483,15.51,52,0,3.85,AM,1657671260
arlit,18.7369,7.3853,34.14,24,47,2.76,NE,1657671182
asau,46.4333,26.4,11.51,77,18,3.22,RO,1657671260
alofi,-19.0595,-169.9187,26.94,74,75,7.72,NU,1657671260
pombas,17.1503,-25.0201,22.52,81,55,4.13,CV,1657671260
askarovo,53.3372,58.5089,18.39,82,75,2.0,RU,1657671260
poum,-20.2333,164.0167,24.43,85,99,6.7,NC,1657671261
bath,51.3779,-2.3591,20.39,72,100,2.38,GB,1657671255
boca do acre,-8.7522,-67.3978,26.57,67,81,0.55,BR,1657671118
buchanan,5.8808,-10.0467,24.2,89,99,4.39,LR,1657671261
guasdualito,7.2424,-70.7324,22.63,96,51,2.36,VE,1657671261
faanui,-16.4833,-151.75,26.04,67,2,4.24,PF,1657671261
yangcun,39.3639,117.0603,25.99,77,74,2.36,CN,1657671261
joshimath,30.5667,79.5667,21.57,95,96,0.27,IN,1657671261
denpasar,-8.65,115.2167,25.28,81,100,4.04,ID,1657671261
san patricio,28.017,-97.5169,35.66,50,10,7.22,US,1657671262
san juan,-31.5375,-68.5364,10.3,27,0,0.74,AR,1657671231
vila velha,-20.3297,-40.2925,22.97,83,0,4.12,BR,1657671262
primo tapia,32.22,-116.9172,23.3,65,92,4.65,MX,1657671262
kieta,-6.2167,155.6333,29.45,71,27,3.06,PG,1657671262
la rioja,42.25,-2.5,17.88,47,1,2.7,ES,1657671262
altamira,-3.2033,-52.2064,25.64,71,96,0.81,BR,1657671262
guerrero negro,27.9769,-114.0611,19.69,80,99,5.65,MX,1657671262
chirawa,28.2408,75.6448,31.52,61,47,3.0,IN,1657671262
upernavik,72.7868,-56.1549,5.87,86,100,1.64,GL,1657671263
japura,-0.3167,102.35,23.93,96,100,1.05,ID,1657671003
vanimo,-2.6741,141.3028,29.35,63,62,1.12,PG,1657671263
jyvaskyla,62.2415,25.7209,17.19,92,0,2.06,FI,1657671009
souillac,-20.5167,57.5167,21.2,62,55,6.63,MU,1657671263
luba,3.4568,8.5547,24.68,88,97,4.61,GQ,1657671263
ushtobe,45.2514,77.9838,21.59,42,93,1.0,KZ,1657671263
bellevue,47.6104,-122.2007,32.31,48,0,3.6,US,1657671263
onega,63.9061,38.1404,17.95,83,20,3.1,RU,1657671263
ust-nera,64.5667,143.2,17.59,96,100,1.63,RU,1657671263
broome,42.2506,-75.833,27.21,51,0,4.63,US,1657671264
ilulissat,69.2167,-51.1,7.01,81,20,1.03,GL,1657671264
beringovskiy,63.05,179.3167,16.84,59,65,4.78,RU,1657671264
yerbogachen,61.2767,108.0108,10.98,60,71,1.14,RU,1657671264
hambantota,6.1241,81.1185,25.99,80,55,8.81,LK,1657671264
san jeronimo,-11.9472,-75.2829,11.5,68,82,2.67,PE,1657671264
tazovskiy,67.4667,78.7,8.05,66,7,4.02,RU,1657671264
biak,-0.9131,122.8766,24.68,85,93,2.5,ID,1657671265
morro bay,35.3658,-120.8499,29.55,60,30,2.24,US,1657671265
huilong,31.8111,121.655,32.18,78,83,3.02,CN,1657671265
oeiras do para,-2.0031,-49.8544,24.11,90,70,1.63,BR,1657671265
cherskiy,68.75,161.3,15.29,60,18,5.84,RU,1657671265
katangli,51.7102,143.2326,17.47,74,7,2.99,RU,1657671265
klaksvik,62.2266,-6.589,10.51,91,100,11.63,FO,1657671266
tuatapere,-46.1333,167.6833,6.28,95,100,4.24,NZ,1657671266
mikhaylovka,50.06,43.2379,19.88,47,68,2.05,RU,1657671266
mabaruma,8.2,-59.7833,23.73,98,85,1.63,GY,1657671266
naze,28.3667,129.4833,27.4,82,89,3.21,JP,1657671266
arauca,7.0847,-70.7591,22.66,96,40,2.57,CO,1657671119
rabo de peixe,37.8,-25.5833,22.38,83,75,3.6,PT,1657671266
namibe,-15.1961,12.1522,16.68,89,1,1.94,AO,1657671267
boden,65.8252,21.6886,15.0,81,0,1.56,SE,1657671267
marawi,7.9986,124.2928,23.66,83,78,0.43,PH,1657671267
lanigan,51.8501,-105.0344,26.32,39,0,0.69,CA,1657671267
arvika,59.6553,12.5852,15.34,98,76,1.37,SE,1657671267
lorengau,-2.0226,147.2712,29.17,71,70,4.33,PG,1657671152
broken hill,-31.95,141.4333,8.04,74,1,7.69,AU,1657671144
almaznyy,48.0448,40.045,16.69,53,19,1.79,RU,1657671267
bara,10.3744,10.7288,24.26,83,99,3.98,NG,1657671267
taltal,-25.4,-70.4833,14.04,74,12,0.4,CL,1657671268
brae,60.3964,-1.353,11.74,81,95,9.4,GB,1657671268
santa cruz,-17.8,-63.1667,18.7,42,100,4.12,BO,1657671268
chapais,49.7834,-74.8492,14.22,88,99,3.19,CA,1657671268
puerto penasco,31.3167,-113.5333,31.06,77,62,6.71,MX,1657670977
okhotsk,59.3833,143.3,15.11,95,100,4.08,RU,1657671268
isangel,-19.55,169.2667,26.8,77,38,3.68,VU,1657671268
sinnamary,5.3833,-52.95,25.72,82,96,2.76,GF,1657671268
xining,36.6167,101.7667,16.62,70,81,0.62,CN,1657671269
tasiilaq,65.6145,-37.6368,8.09,80,61,2.53,GL,1657671269
goundam,16.4145,-3.6708,35.67,28,7,3.92,ML,1657671269
mahebourg,-20.4081,57.7,20.7,60,69,7.1,MU,1657671150
bologoye,57.8799,34.1068,12.52,98,17,1.82,RU,1657671269
meadow lake,34.8014,-106.5436,33.37,29,72,2.41,US,1657671269
bataipora,-22.2953,-53.2711,16.3,68,100,2.57,BR,1657671269
wana,32.2989,69.5725,25.15,71,12,0.92,PK,1657671270
la asuncion,11.0333,-63.8628,25.87,87,81,6.11,VE,1657670975
husavik,66.0449,-17.3389,5.94,93,100,8.21,IS,1657671270
tianpeng,30.9866,103.9393,24.86,94,100,2.4,CN,1657671270
churapcha,62.0025,132.4325,17.12,93,100,1.06,RU,1657671270
christchurch,-43.5333,172.6333,12.96,62,61,2.57,NZ,1657671032
yeniseysk,58.4497,92.1703,12.72,75,49,2.51,RU,1657671270
zatoka,46.0725,30.4654,19.35,57,19,5.75,UA,1657671270
novikovo,51.1537,37.8879,14.19,70,77,2.89,RU,1657671271
port hardy,50.6996,-127.4199,14.42,76,100,5.99,CA,1657671178
cardoso,-20.0819,-49.9142,22.39,43,99,1.63,BR,1657671271
vossevangen,60.623,6.4229,12.52,95,90,2.48,NO,1657670981
nusaybin,37.0778,41.2178,29.34,22,0,1.7,TR,1657671271
manikpur,25.0667,81.1167,30.78,54,49,4.11,IN,1657671271
los llanos de aridane,28.6585,-17.9182,19.86,87,75,4.12,ES,1657671271
manggar,-2.8833,108.2667,26.67,80,97,0.85,ID,1657671271
cardston,49.2,-113.3019,30.35,20,38,3.09,CA,1657671271
dunedin,-45.8742,170.5036,7.58,95,100,9.34,NZ,1657671271
dioknisi,41.6293,42.3917,16.68,94,91,0.61,GE,1657671271
mvuma,-19.2792,30.5283,12.22,62,50,2.92,ZW,1657671272
elko,41.0002,-115.5012,31.24,14,62,6.34,US,1657671272
pravia,43.4906,-6.1508,23.6,88,0,1.54,ES,1657671272
ulaanbaatar,47.9077,106.8832,13.91,75,0,1.1,MN,1657671007
meulaboh,4.1363,96.1285,24.56,80,87,2.45,ID,1657671272
lodja,-3.4833,23.4333,22.58,42,67,0.34,CD,1657671272
comodoro rivadavia,-45.8667,-67.5,3.92,60,0,8.75,AR,1657671272
mwene-ditu,-7.0,23.45,18.74,38,3,2.25,CD,1657671272
laramie,41.3114,-105.5911,30.21,17,0,5.66,US,1657671272
margate,51.3813,1.3862,22.71,64,99,1.34,GB,1657671273
sept-iles,50.2001,-66.3821,15.29,98,100,2.57,CA,1657671273
manhush,47.0558,37.3107,18.58,52,0,2.09,UA,1657671273
jambi,-1.6,103.6167,23.4,96,100,0.94,ID,1657671273
shangzhi,45.2167,127.9667,23.18,80,98,2.98,CN,1657671273
morondava,-20.2833,44.2833,20.16,54,2,4.82,MG,1657671273
sabha,27.0377,14.4283,26.68,28,0,4.84,LY,1657671273
oyo,7.85,3.9333,21.35,98,52,2.02,NG,1657671273
roma,43.2128,-75.4557,23.62,74,100,5.66,US,1657671252
mayo,38.8876,-76.5119,25.0,88,40,2.57,US,1657671273
kluang,2.0251,103.3328,24.19,94,100,0.9,MY,1657671274
ankpa,7.3706,7.6253,21.58,97,58,3.23,NG,1657671274
noumea,-22.2763,166.4572,21.67,99,76,1.63,NC,1657670814
antequera,37.0194,-4.5612,22.75,62,34,3.85,ES,1657671274
acapulco,16.8634,-99.8901,29.9,74,75,3.09,MX,1657670976
airai,-8.9266,125.4092,15.3,68,97,1.59,TL,1657671274
simpang,-1.2667,104.0833,23.72,96,100,0.89,ID,1657671274
talnakh,69.4865,88.3972,8.45,50,93,7.41,RU,1657671274
coihaique,-45.5752,-72.0662,-0.03,93,40,1.54,CL,1657670980
tongliao,43.6125,122.2653,23.7,82,100,5.5,CN,1657671274
mantua,45.1667,10.7833,24.58,76,39,2.24,IT,1657671053
merauke,-8.4667,140.3333,25.53,79,100,5.33,ID,1657671275
lata,40.1629,-8.3327,25.6,27,93,1.78,PT,1657671275
chicama,-7.8447,-79.1469,15.3,79,7,2.74,PE,1657671275
khani,41.9563,42.9566,15.76,95,93,0.06,GE,1657671275
spornoye,50.8448,37.2913,12.82,73,64,3.15,RU,1657671275
hare bay,48.8499,-54.0148,15.05,64,3,3.69,CA,1657671275
batagay-alyta,67.8006,130.4114,18.53,56,40,3.65,RU,1657671275
lazaro cardenas,17.9583,-102.2,29.09,73,44,4.36,MX,1657671275
lovington,32.944,-103.3485,34.47,25,53,2.68,US,1657671275
thap than,15.4606,99.8917,25.95,87,100,0.17,TH,1657671276
puerto escondido,15.85,-97.0667,27.41,86,95,1.88,MX,1657671276
muros,42.7762,-9.0603,23.98,75,35,2.27,ES,1657671055
constantine,36.365,6.6147,25.67,41,0,1.03,DZ,1657671276
nidzica,53.3605,20.4275,17.77,71,84,8.13,PL,1657671276
bambous virieux,-20.3428,57.7575,20.68,65,77,7.03,MU,1657671276
sechura,-5.5569,-80.8222,18.68,76,49,7.7,PE,1657671277
atambua,-9.1061,124.8925,21.74,67,93,3.05,ID,1657671277
meghri,38.9029,46.2446,21.34,46,0,2.51,AM,1657671277
aitape,-3.1374,142.3475,29.13,65,55,1.13,PG,1657671277
voi,-3.3945,38.563,17.17,90,58,3.15,KE,1657671277
longyearbyen,78.2186,15.6401,7.91,93,75,1.03,SJ,1657671137
davila,18.4726,120.5763,27.44,85,100,6.17,PH,1657671277
lianzhou,24.7811,112.3825,27.7,83,1,0.94,CN,1657671277
paamiut,61.994,-49.6678,5.12,95,64,5.02,GL,1657671277
ugento,39.9263,18.1574,19.7,62,69,5.73,IT,1657671278
kars,40.602,43.095,14.25,72,0,3.09,TR,1657671006
bulgan,48.8125,103.5347,15.0,66,1,1.48,MN,1657671278
berlevag,70.8578,29.0864,19.0,63,88,6.17,NO,1657671278
marfino,55.7028,37.3822,16.08,76,0,1.0,RU,1657671139
baniyas,35.1819,35.9487,23.16,75,0,2.17,SY,1657671278
san policarpo,12.1791,125.5072,27.85,78,63,0.75,PH,1657671278
saint-augustin,51.226,-58.6502,14.32,77,100,5.54,CA,1657671278
north bend,43.4065,-124.2243,22.36,86,100,6.69,US,1657671279
dudinka,69.4058,86.1778,8.68,59,66,7.3,RU,1657671279
